Date,Bajaj Auto Close,Hindustan Lever,Infosys,Maruti,Asian Paint
25-May-18,2759.85,1575.7,1228.8,8546.85,1289.65
28-May-18,2791.25,1581.8,1214.5,8705.85,1319.5
29-May-18,2794,1572,1216.65,8681,1299.15
30-May-18,2763.1,1581.5,1214.1,8604.6,1291.9
31-May-18,2752.15,1613.65,1231.9,8534.95,1305.6
01-Jun-18,2893.25,1589.7,1220.25,8792.15,1293.5
04-Jun-18,2876.6,1562.2,1239.6,8750.35,1281.8
05-Jun-18,2844.15,1563.9,1221.2,8810.35,1273.05
06-Jun-18,2884.55,1572.8,1235.6,8871,1263.75
07-Jun-18,2889,1601.8,1250.8,8914.5,1287.7
08-Jun-18,2875.4,1595,1259.75,8945.7,1277.4
11-Jun-18,2882,1601.9,1263.05,9021.05,1284.9
12-Jun-18,2886.95,1640.45,1258.4,9017.2,1284.45
13-Jun-18,2908.3,1620.3,1276.1,8991.8,1282.4
14-Jun-18,2890.2,1613.1,1238.7,8974.15,1285.85
15-Jun-18,2873.75,1621.2,1280.45,8952.5,1281.05
18-Jun-18,2901.9,1609.9,1266.5,8993.4,1276.7
19-Jun-18,2849.4,1601.05,1244.05,8868.45,1268.65
20-Jun-18,2873.3,1602.4,1243.35,8947.9,1272.1
21-Jun-18,2832.95,1593.65,1246.35,8870.1,1254.4
22-Jun-18,2830.75,1607.55,1246.45,8889.7,1268.2
25-Jun-18,2799.6,1614.25,1272.3,8792.1,1254.05
26-Jun-18,2809.75,1621.5,1277.85,8950.1,1273.7
27-Jun-18,2765.45,1608.85,1269.2,8900.7,1265.25
28-Jun-18,2718.2,1604.15,1288.85,8780.95,1267.45
29-Jun-18,2811.15,1641.85,1306.75,8821.2,1264.1
02-Jul-18,2839.15,1644.2,1334.45,8827.6,1293.5
03-Jul-18,2865.05,1642.75,1353.65,8979.5,1291.9
04-Jul-18,2978.2,1676.15,1344.6,9220.8,1291.55
05-Jul-18,2969.8,1684.1,1284.5,9338.6,1321.85
06-Jul-18,3023.35,1678.95,1284.5,9304.8,1322.8
09-Jul-18,3017.95,1694.1,1299.15,9369.45,1364
10-Jul-18,3089.05,1687.25,1302.5,9531.05,1369.45
11-Jul-18,3154.35,1714.1,1320.35,9389.2,1358.3
12-Jul-18,3101.9,1739.05,1294.6,9347.55,1357.25
13-Jul-18,3134,1741.15,1309.1,9434.3,1368.5
16-Jul-18,3101.75,1753.85,1333.05,9377.9,1358.6
17-Jul-18,3095.25,1683.75,1327.4,9451.2,1377.9
18-Jul-18,3105.05,1643.8,1322.4,9368.7,1391.4
19-Jul-18,3112.8,1648.1,1316.55,9388.4,1399.45
20-Jul-18,2841.1,1656.2,1348.35,9386.75,1396.9
23-Jul-18,2689.1,1686.6,1355.75,9697.15,1433.7
24-Jul-18,2650.8,1668,1376,9820.35,1466.7
25-Jul-18,2638.8,1655.35,1383.7,9757.7,1450.3
26-Jul-18,2619.25,1668.3,1375.2,9396.65,1432.5
27-Jul-18,2678.05,1657.55,1374.55,9315.45,1433.25
30-Jul-18,2668.95,1689,1353.15,9380.65,1430.8
31-Jul-18,2700.7,1731.6,1365,9506.4,1448.3
01-Aug-18,2685.65,1733.1,1353.75,9340.3,1437.75
02-Aug-18,2679.5,1749,1355.4,9156.7,1418.45
03-Aug-18,2688.65,1759.45,1364.1,9188.35,1411.35
06-Aug-18,2688.1,1730.5,1360.8,9287.35,1396.8
07-Aug-18,2683.85,1730.4,1369.4,9396.8,1419.6
08-Aug-18,2658,1753.4,1362.9,9209.5,1425.2
09-Aug-18,2660.75,1753.5,1380.3,9156.4,1415.3
10-Aug-18,2631.25,1748.7,1385.2,9151.35,1418.1
13-Aug-18,2632.55,1732.9,1409.45,9090.25,1398.4
14-Aug-18,2645.55,1747.1,1408.75,9129.85,1395.55
16-Aug-18,2667.15,1735.2,1425.3,9201.95,1392.35
17-Aug-18,2660.9,1780.8,1431.35,9148.3,1399.8
20-Aug-18,2734,1775.4,1385.2,9075.9,1408.9
21-Aug-18,2727.55,1752.4,1384.3,9105.05,1402.15
23-Aug-18,2685.95,1771.9,1399.2,9223.6,1393.9
24-Aug-18,2677.35,1781.75,1379.95,9163.4,1392.5
27-Aug-18,2701.5,1791.65,1414.9,9249.35,1399.6
28-Aug-18,2688.4,1770.8,1424.35,9418.35,1407.4
29-Aug-18,2689.2,1759,1410.35,9364,1392
30-Aug-18,2701.8,1771.35,1417.5,9212.4,1375.95
31-Aug-18,2746.35,1780.6,1440,9097.25,1371.1
03-Sep-18,2765.15,1699.05,1433.45,8924,1359.45
04-Sep-18,2731.95,1651.4,1471.3,8873.65,1312.05
05-Sep-18,2768.7,1611,1459.6,8890.9,1317.3
06-Sep-18,2783.3,1608.05,1455.9,8772.3,1314.65
07-Sep-18,2924,1638.95,1466.3,8732.55,1317.35
10-Sep-18,2866.55,1610.55,1463.9,8648.15,1292.45
11-Sep-18,2831.05,1591.45,1468.5,8512.85,1295.85
12-Sep-18,2871.2,1627.95,1485.4,8502.1,1291.75
14-Sep-18,2878.15,1630.15,1470.4,8632.85,1331
17-Sep-18,2857.1,1604.05,1453.1,8533.5,1305.3
18-Sep-18,2775.9,1666.15,1438.3,8400.1,1291.15
19-Sep-18,2795.3,1648.9,1440.8,8207,1289.35
21-Sep-18,2795.65,1621.65,1412.6,8039.55,1303.1
24-Sep-18,2756.35,1591,1434.6,7795.85,1265.85
25-Sep-18,2787.95,1634.3,1453,8003.3,1290.95
26-Sep-18,2775.7,1610.7,1435.6,7844.4,1280.55
27-Sep-18,2782.5,1618.85,1448.3,7556.05,1286.6
28-Sep-18,2687.1,1607.65,1455.7,7350.55,1294.05
01-Oct-18,2729.75,1642.85,1488.9,7465.3,1278.6
03-Oct-18,2733.2,1622.05,1455.7,7251.6,1251.65
04-Oct-18,2650.05,1573.85,1412.7,7193.65,1227.9
05-Oct-18,2544.75,1559.45,1443.7,6893,1207.9
08-Oct-18,2591.4,1557.25,1429,6904,1251.45
09-Oct-18,2543.45,1514.75,1434.7,6691.9,1202
10-Oct-18,2582,1527.1,1400.6,7011.15,1225.95
11-Oct-18,2524.15,1528.5,1350,6878.1,1216.05
12-Oct-18,2628.6,1568.65,1358.1,7283.05,1261.5
15-Oct-18,2625.2,1526.6,1398.2,7181.95,1246.55
16-Oct-18,2611.15,1544.35,1392.8,7149.95,1266.8
17-Oct-18,2548.05,1561.05,1409,6878.7,1256.2
19-Oct-18,2510.15,1579.2,1365.2,6760.35,1237.95
22-Oct-18,2556.8,1584.95,1356.5,6814,1201.45
23-Oct-18,2586.4,1553.85,1315.7,6763.05,1138.8
24-Oct-18,2475.3,1585.6,1300.3,6768.55,1189.95
25-Oct-18,2477.5,1577,1298.6,6724.7,1200.6
26-Oct-18,2505.55,1560.45,1267,6705.25,1189.45
29-Oct-18,2542.2,1553.85,1287.6,6798.45,1195
30-Oct-18,2554.3,1592.25,1319.5,6697.85,1197.45
31-Oct-18,2591.45,1617.85,1372.5,6608.95,1227.25
01-Nov-18,2596.1,1611.3,1332.7,6709.6,1217.2
02-Nov-18,2656.05,1633.6,1324.1,7136.8,1246.15
05-Nov-18,2674.25,1638.25,1325.5,7167.4,1242.15
06-Nov-18,2668,1628.25,1333.6,7073.25,1238.75
07-Nov-18,2693,1640.05,1352,7135.45,1250.85
09-Nov-18,2695.65,1672.55,1322.9,7265.5,1298.2
12-Nov-18,2647,1653.85,1328.9,7073.9,1275.55
13-Nov-18,2663.35,1672.15,1331.4,7146.4,1284.8
14-Nov-18,2681.7,1718.2,1306.9,7372.35,1319.9
15-Nov-18,2671.3,1705.6,1312.7,7482.85,1312.25
16-Nov-18,2696.8,1690.75,1300.9,7332.05,1320.45
19-Nov-18,2683.05,1701.35,1303.6,7417.6,1311.9
20-Nov-18,2664.1,1693.55,1282.2,7332.15,1306.6
21-Nov-18,2603.6,1689.9,1241.9,7415.8,1322.9
22-Nov-18,2594.1,1674.65,1240.9,7409.95,1313.85
26-Nov-18,2652,1745.15,1242.6,7533.95,1349.6
27-Nov-18,2598.6,1732.65,1274,7629.6,1339.2
28-Nov-18,2603.2,1730.8,1332.7,7565.5,1323.65
29-Nov-18,2725.05,1765.35,1319.2,7550,1352.65
30-Nov-18,2736.8,1753.6,1333,7664.6,1344.9
03-Dec-18,2734.85,1825.9,1339.7,7759.8,1339.9
04-Dec-18,2764.7,1808.25,1368.9,7724.75,1329.35
05-Dec-18,2761.9,1845.6,1362.9,7559.55,1328.3
06-Dec-18,2719.05,1800.4,1336.4,7209.7,1295.05
07-Dec-18,2779.75,1822.85,1362.1,7314.1,1318.6
10-Dec-18,2722,1797.1,1335.6,7350.1,1272.7
11-Dec-18,2745.8,1795.2,1348.5,7309.85,1323.95
12-Dec-18,2847.3,1839.05,1357.4,7487.05,1328.7
13-Dec-18,2836,1853,1393,7663.75,1320.15
14-Dec-18,2824.7,1856.8,1411.2,7654.1,1340.05
17-Dec-18,2840.95,1851.4,1387.1,7708.55,1334.85
18-Dec-18,2841,1841.1,1352.7,7757.7,1354.45
19-Dec-18,2868.1,1844,1330.5,7916.15,1400.4
20-Dec-18,2884.2,1833.9,1333.7,7808.95,1425.3
21-Dec-18,2811.55,1803.6,1291.5,7536.75,1387.8
24-Dec-18,2724,1783.55,1298.1,7513.7,1356.05
26-Dec-18,2737.95,1791.15,1289.2,7570.75,1362.2
27-Dec-18,2736.05,1811.25,1314.7,7505.3,1367.05
28-Dec-18,2723.3,1820.1,1315.2,7510.7,1365.35
31-Dec-18,2718.5,1818.05,1319.7,7462.3,1373.7
01-Jan-19,2724.6,1803.1,1329.3,7477.6,1371.85
02-Jan-19,2689.4,1784,1338.6,7272.45,1381.55
03-Jan-19,2700.4,1787.35,1335.1,7203.9,1385.15
04-Jan-19,2734.65,1780.25,1321.5,7237.4,1385.3
07-Jan-19,2657.4,1784.7,1342.3,7349,1394.8
08-Jan-19,2690.75,1770.6,1339.7,7421.35,1401.25
09-Jan-19,2695.65,1783.2,1351.7,7465.85,1402.9
10-Jan-19,2718.75,1785.9,1359.5,7385.95,1397.55
11-Jan-19,2713.8,1768.35,1367.4,7319.8,1402.2
14-Jan-19,2700.15,1763.5,1401.8,7402.55,1388.4
15-Jan-19,2725.3,1787.65,1453.1,7349.55,1406.05
16-Jan-19,2717.1,1770,1473.1,7305.25,1389
17-Jan-19,2726.35,1750.1,1466.8,7333.7,1389.45
18-Jan-19,2716.55,1743.7,1462,7353.35,1401.3
21-Jan-19,2685.45,1748.3,1485.5,7200.95,1420.65
22-Jan-19,2683.95,1749.9,1488.7,7068.25,1406.55
23-Jan-19,2677.4,1765.7,1462.9,7042.15,1396.05
24-Jan-19,2647.8,1758.75,1465.6,7037.4,1400.25
25-Jan-19,2623.8,1753,1460.4,6516.35,1372.2
28-Jan-19,2563.8,1740.65,1456.4,6508.55,1379.2
29-Jan-19,2566.9,1751.5,1454.7,6523.3,1392.5
30-Jan-19,2498.85,1730.1,1449.7,6528.25,1388.75
31-Jan-19,2553.35,1762.25,1499.2,6628.05,1412.65
01-Feb-19,2602.7,1796.25,1513.1,6956.55,1456.95
04-Feb-19,2646.1,1803.15,1511.3,6968.05,1448.4
05-Feb-19,2712.5,1821.2,1508.5,7096,1450.45
06-Feb-19,2771.45,1828.55,1525.3,7191.1,1465.85
07-Feb-19,2855.5,1836.9,1526.7,7284.25,1472.05
08-Feb-19,2848.1,1817.4,1519.7,7146.15,1448.4
11-Feb-19,2852,1805.35,1523.2,7185.05,1437.95
12-Feb-19,2832.45,1794.85,1500.8,7145.1,1448.7
13-Feb-19,2824.15,1798.95,1509.9,7023.65,1423.1
14-Feb-19,2818.55,1782.2,1479.6,7017.05,1399.45
15-Feb-19,2818.9,1773.05,1483.5,6925.3,1395.25
18-Feb-19,2794.15,1752.3,1480.2,6844.4,1379.75
19-Feb-19,2782.65,1738.75,1450.3,6805.75,1378.95
20-Feb-19,2778.2,1733.6,1480.1,6848.7,1394.4
21-Feb-19,2809.65,1753.6,1466.7,6796.8,1397.75
22-Feb-19,2816.7,1767.8,1466.7,6916.4,1398.3
25-Feb-19,2847,1770.4,1509.8,6921.45,1398.75
26-Feb-19,2852.5,1767,1483.4,6896.3,1401.25
27-Feb-19,2912.25,1735.75,1469.4,6955.2,1402.5
28-Feb-19,2896.45,1731.35,1467.9,6832.25,1405.05
01-Mar-19,2862.9,1734.95,1482.3,6933.2,1392.15
05-Mar-19,2906.6,1724.2,1465.2,7114.5,1401.2
06-Mar-19,2927.35,1700.4,1464.4,7058.95,1393.75
07-Mar-19,2909.95,1703.35,1446.5,7030.65,1397.25
08-Mar-19,2955.9,1701,1425.1,6972.85,1383.6
11-Mar-19,3004.4,1714.25,1423.3,7090.4,1417.9
12-Mar-19,2991.35,1734.1,1413.8,7153.95,1427.25
13-Mar-19,3008.4,1746.15,1418.3,7086.05,1428.45
14-Mar-19,3010.5,1737.35,1416.7,7086.8,1434.05
15-Mar-19,3022.3,1698.65,1437.7,7092.05,1432.25
18-Mar-19,3004.2,1697.45,1419.5,6910.35,1445.8
19-Mar-19,2980.25,1699.6,1443,6832.55,1453.9
20-Mar-19,2948.1,1689.2,1477,6680.8,1454.95
22-Mar-19,2949.4,1678.55,1484.3,6558,1470.7
25-Mar-19,2958.1,1673,1471.6,6523.45,1456.6
26-Mar-19,2951.3,1683.7,1453.5,6578.8,1484.45
